_id,ltable_ID,rtable_ID,ltable_name,ltable_address,ltable_zipcode,ltable_cuisine,rtable_name,rtable_address,rtable_zipcode,rtable_cuisine
855988,3940,23660,harlem karibe restaurant & catering,"2234 adam clayton powell jr blvd, ,",10027,haitian latin american cuban,b & k french cuisine,2167 adam clayton powell jr blvd,10027,french
856108,3942,8270,new harlem besame latino soul lounge,"2070 adam clayton powell blvd, ,",10027,caribbean latin american,asian fusion,2071 adam clayton powell jr blvd,10027,asian
856123,3942,15534,new harlem besame latino soul lounge,"2070 adam clayton powell blvd, ,",10027,caribbean latin american,delhi masala restaurant,2077 adam clayton powell jr blvd,10027,indian
856218,3942,23660,new harlem besame latino soul lounge,"2070 adam clayton powell blvd, ,",10027,caribbean latin american,b & k french cuisine,2167 adam clayton powell jr blvd,10027,french
856901,3952,10943,buffalo wild wings,"2319 frederick douglass blvd, ,",10027,chicken wings sports bars american (traditional),buffalo wild wings,2319 frederick douglass blvd,10027,chicken
856967,3953,23808,subway,"578 w 125th st, ,",10027,fast food sandwiches,subway,578 w 125th st,10027,sandwiches/salads/mixed buffet
857387,3957,23679,little caesar's pizza,"377 w 125th st, ,",10027,pizza,little caesar's,377 w 125th st,10027,pizza
858046,3963,23245,checkers,"79 w 125th st,",10027,american (traditional) fast food burgers,checkers,79 w 125th st,10027,american
858887,3973,9285,buffalo boss,"17 w 125th st, ,",10027,chicken wings salad american (traditional),piece of velvet,17 w 125th st,10027,"ice cream, gelato, yogurt, ices"
859443,3978,8270,tropical grill & restaurant,"2145 adam clayton powell jr blvd, ,",10027,caribbean spanish,asian fusion,2071 adam clayton powell jr blvd,10027,asian
859458,3978,15534,tropical grill & restaurant,"2145 adam clayton powell jr blvd, ,",10027,caribbean spanish,delhi masala restaurant,2077 adam clayton powell jr blvd,10027,indian
859553,3978,23660,tropical grill & restaurant,"2145 adam clayton powell jr blvd, ,",10027,caribbean spanish,b & k french cuisine,2167 adam clayton powell jr blvd,10027,french
