_id,ltable_ID,rtable_ID,ltable_name,ltable_address,ltable_zipcode,ltable_phone,ltable_cuisine,rtable_name,rtable_address,rtable_zipcode,rtable_phone,rtable_cuisine
169346,548,6579,al vicoletto,"9 e 17th st, ,",10003,2126206166.0,italian wine bars delis,al vicoletto,9 e 17th st,10003,2126206166,italian
169738,549,15649,union square cafe,"101 e 19th st, ,",10003,2122434020.0,american (new) cafes wine bars,union square cafe/ daily provisions,101 e 19th st,10003,2122434020,american
172120,555,4964,wok to walk,"42 union sq e, ,",10003,6469187006.0,asian fusion fast food,wok to walk,42 union sq e,10003,6469187006,thai
173558,559,191,bowery meat company,"9 e 1st st, ,",10003,2124605255.0,steakhouses seafood meat shops,bowery meat company,9 e 1st st,10003,2124605255,american
181628,579,6460,the winslow,"243 e 14th st, ,",10003,2127777717.0,pubs,the winslow,243 e 14th st,10003,2127777717,american
191324,602,4717,dalias,"214 e 9th st, ,",10003,2125984321.0,spanish,dahlias fine mexican cuisine,214 e 9th st,10003,2125984321,"latin (cuban, dominican, puerto rican, south & central american)"
195861,616,17069,the immigrant,"341 e 9th st,",10003,6463081724.0,wine bars,the immigrant tap room,341 e 9th st,10003,2126772545,other
198660,624,20353,lui's thai food,"128 e 4th st, ,",10003,6466699310.0,thai,lui's thai food,128 e 4th st,10003,6466699310,thai
199670,627,9491,jp street,"52 e 8th st, ,",10003,2123889881.0,japanese burgers chicken wings,jp street,52 e 8th st,10003,2123889881,japanese
203560,635,19142,poke village,"250 e 14th st,",10003,2127771699.0,poke korean ramen,pokevillage,250 e 14th st,10003,2127771699,asian
212376,658,12607,v spot,12 saint marks pl,10003,2122543693.0,latin american vegan gluten-free,vspot organic,12 saint marks pl,10003,2122543693,"latin (cuban, dominican, puerto rican, south & central american)"
215546,666,15801,east village thai,"32 e 7th st, ,",10003,2126734610.0,thai,east village thia restaurant,32 e 7th st,10003,2126734610,thai
219914,713,14453,bavaria bier haus,"19 s william st,",10004,2124808142.0,german beer gardens,bavaria bierhouse,19 s william st,10004,2124808142,german
220630,723,7129,schnipper's quality kitchen,"1 new york plz, ,",10004,6469645409.0,american (new) american (traditional) burgers,retro fitness,1 new york plz,10004,6469186357,"juice, smoothies, fruit salads"
220644,723,9210,schnipper's quality kitchen,"1 new york plz, ,",10004,6469645409.0,american (new) american (traditional) burgers,naya express,1 new york plz,10004,2127608888,mediterranean
220650,723,23519,schnipper's quality kitchen,"1 new york plz, ,",10004,6469645409.0,american (new) american (traditional) burgers,starbucks,1 new york plz,10004,2127858409,cafã©/coffee/tea
220657,723,3201,schnipper's quality kitchen,"1 new york plz, ,",10004,6469645409.0,american (new) american (traditional) burgers,cappone's salumeria,1 new york plz,10004,9174751245,sandwiches
220659,723,23372,schnipper's quality kitchen,"1 new york plz, ,",10004,6469645409.0,american (new) american (traditional) burgers,schnippers,1 new york plz,10004,6462029330,hamburgers
220683,723,21483,schnipper's quality kitchen,"1 new york plz, ,",10004,6469645409.0,american (new) american (traditional) burgers,chipotle mexican grill,1 new york plz,10004,6468823252,mexican
221800,743,7129,chop't,"1 new york plz, ,",10004,6467419968.0,salad sandwiches,retro fitness,1 new york plz,10004,6469186357,"juice, smoothies, fruit salads"
221814,743,9210,chop't,"1 new york plz, ,",10004,6467419968.0,salad sandwiches,naya express,1 new york plz,10004,2127608888,mediterranean
221820,743,23519,chop't,"1 new york plz, ,",10004,6467419968.0,salad sandwiches,starbucks,1 new york plz,10004,2127858409,cafã©/coffee/tea
221827,743,3201,chop't,"1 new york plz, ,",10004,6467419968.0,salad sandwiches,cappone's salumeria,1 new york plz,10004,9174751245,sandwiches
221829,743,23372,chop't,"1 new york plz, ,",10004,6467419968.0,salad sandwiches,schnippers,1 new york plz,10004,6462029330,hamburgers
221853,743,21483,chop't,"1 new york plz, ,",10004,6467419968.0,salad sandwiches,chipotle mexican grill,1 new york plz,10004,6468823252,mexican
222728,758,18520,south ferry bldg company,"1 state street plaza, ,",10004,2123445210.0,food court,au bon pain,1 state street plaza,10004,2127427883,sandwiches/salads/mixed buffet
223960,775,7129,subway,"1 new york plz, ,",10004,2124220227.0,fast food sandwiches,retro fitness,1 new york plz,10004,6469186357,"juice, smoothies, fruit salads"
223974,775,9210,subway,"1 new york plz, ,",10004,2124220227.0,fast food sandwiches,naya express,1 new york plz,10004,2127608888,mediterranean
223980,775,23519,subway,"1 new york plz, ,",10004,2124220227.0,fast food sandwiches,starbucks,1 new york plz,10004,2127858409,cafã©/coffee/tea
223987,775,3201,subway,"1 new york plz, ,",10004,2124220227.0,fast food sandwiches,cappone's salumeria,1 new york plz,10004,9174751245,sandwiches
223989,775,23372,subway,"1 new york plz, ,",10004,2124220227.0,fast food sandwiches,schnippers,1 new york plz,10004,6462029330,hamburgers
224013,775,21483,subway,"1 new york plz, ,",10004,2124220227.0,fast food sandwiches,chipotle mexican grill,1 new york plz,10004,6468823252,mexican
226660,815,7129,vivo food,"1 new york plz, ,",10004,,delis,retro fitness,1 new york plz,10004,6469186357,"juice, smoothies, fruit salads"
226674,815,9210,vivo food,"1 new york plz, ,",10004,,delis,naya express,1 new york plz,10004,2127608888,mediterranean
226680,815,23519,vivo food,"1 new york plz, ,",10004,,delis,starbucks,1 new york plz,10004,2127858409,cafã©/coffee/tea
226687,815,3201,vivo food,"1 new york plz, ,",10004,,delis,cappone's salumeria,1 new york plz,10004,9174751245,sandwiches
226689,815,23372,vivo food,"1 new york plz, ,",10004,,delis,schnippers,1 new york plz,10004,6462029330,hamburgers
226713,815,21483,vivo food,"1 new york plz, ,",10004,,delis,chipotle mexican grill,1 new york plz,10004,6468823252,mexican
232494,964,8074,cafe de novo,"94 1/2 greenwich st, ,",10006,2122331573.0,korean pizza,cafe de novo,94 1/2 greenwich st,10006,9175028199,american
243715,1139,2839,waka ramen & izakaya,432 e 13th st,10009,2127773174.0,ramen,teshigotoya,432 e 13th st,10009,2127773174,japanese
243862,1140,6348,carma east,"507 e 6th st,",10009,2122289688.0,bars dim sum taiwanese,carma,507 e 6th st,10009,2122289688,asian
245354,1146,22871,ruffian wine bar & chef's table,"125 e 7th st, ,",10009,2127770855.0,wine bars tapas/small plates french,ruffian wine bar,125 e 7th st,10009,2127770855,continental
245841,1150,9235,gnoccheria by luzzo's,"234 e 4th st, ,",10009,2122543638.0,italian,gnoccheria by luzzo's,234 e 4th st,10009,2122593638,italian
245882,1150,22660,gnoccheria by luzzo's,"234 e 4th st, ,",10009,2122543638.0,italian,secara,234 e 4th st,10009,2019204389,spanish
247550,1159,12088,raclette,"511 e 12th st, ,",10009,9178535377.0,sandwiches french,la vraie raclette,511 e 12th st,10009,9293295758,french
247920,1161,19306,secchu yokota,"199 e 3rd st, fl 1",10009,2127771124.0,japanese desserts seafood,china wok,199 e 3rd st,10009,2122285888,chinese
250282,1173,20207,tuome,"536 e 5th st, ,",10009,6468337811.0,american (new),tuome,536 e 5th st,10009,6468337811,asian
250695,1175,16701,ichibantei,"401 e 13th st, ,",10009,6463689755.0,japanese steakhouses,ichibantei,401 e 13th st,10009,6463689755,japanese
253253,1191,3769,virginia's,"647 e 11th st,",10009,2126580182.0,american (new),virginia's,647 e 11th st,10009,2126580182,american
253353,1194,16933,stuyvesant organic,"536 e 14th st, ,",10009,2124753280.0,organic stores salad caterers,stuyvesant organic,536 e 14th st,10009,2124753280,american
254503,1199,14076,turntable 5060,235 e 4th st,10009,2127775060.0,chicken wings korean american (new),turntable 5060,235 e 4th st,10009,2127775060,american
254622,1199,23271,turntable 5060,235 e 4th st,10009,2127775060.0,chicken wings korean american (new),nobody is perfect,235 e 4th st,10009,6462344336,other
254942,1201,16664,banh mi zon,"443 e 6th st, ,",10009,6465246384.0,vietnamese sandwiches salad,banh mi zon,443 e 6th st,10009,6465246384,asian
255637,1204,21480,dun-well doughnuts,"102 saint marks pl,",10009,,donuts coffee & tea vegan,dun-well doughnuts,102 saint marks pl,10009,6469985492,donuts
255898,1205,20207,minca,"536 e 5th st,",10009,2125058001.0,ramen,tuome,536 e 5th st,10009,6468337811,asian
256749,1209,22360,the crooked tree,"110 saint marks pl, ,",10009,2125333299.0,creperies cafes american (new),david's cafe,110 saint marks pl,10009,6466783206,french
258397,1220,2299,gg's,"511 e 5th st, ,",10009,2126873641.0,american (new) pizza,gg's,511 e 5th st,10009,2126873641,american
259075,1223,4765,izakaya nomad,"13 w 26th st, ,",10010,2122136258.0,gastropubs izakaya bars,izakaya nomad,13 w 26th st,10010,2122136258,japanese
259332,1225,13753,sagaponack bar & grill,"4 w 22nd st,",10010,2122292226.0,bars american (new) seafood,sagaponack,4 w 22nd st,10010,2122292226,seafood
259515,1226,19098,upland,"345 park ave s, ,",10010,2126861006.0,american (new),upland,345 park ave s,10010,2126861006,american
263155,1250,4838,grill 21,"346 e 21st st, ,",10010,2124735950.0,filipino,grill 21,346 e 21st st,10010,2124735950,filipino
263963,1256,23339,maui onion,"35 w 26th st,",10010,2123775120.0,poke salad hawaiian,hanjan,35 w 26th st,10010,2125488283,other
267268,1278,19529,little basil,"153 e 26th st, ,",10010,2126891444.0,thai,little basil thai,153 e 26th st,10010,2126891444,thai
267695,1280,3728,indikitch,"25 w 23rd st,",10010,6465907152.0,indian,indikitch,25 w 23rd st,10010,6465907152,indian
267745,1281,15489,shaka burrito,"210 e 23rd st, ,",10010,2122134612.0,mexican hawaiian caribbean,shaka burrito,210 e 23rd st,10010,2122134612,mexican
268513,1286,21938,limon restaurant,"238 e 24th st,",10010,2122133343.0,turkish middle eastern mediterranean,limon restaurant,238 e 24th st,10010,2122133343,turkish
270104,1296,16603,dig inn,"16 e 23rd st,",10010,2122536174.0,american (new) juice bars & smoothies salad,dig inn,16 e 23rd st,10010,2122536174,american
271393,1305,2451,kat & theo,"5 w 21st st,",10010,2123801950.0,mediterranean american (new) bars,kat & theo,5 w 21st st,10010,2123801950,american
272211,1311,20827,papou's pizza,"112 e 23rd st, ,",10010,,pizza,pure & fresh,112 e 23rd st,10010,9175360443,sandwiches/salads/mixed buffet
275222,1327,23407,foragers table,"300 w 22nd st, ,",10011,2122438888.0,breakfast & brunch american (new) wine bars,the gem hotel,300 w 22nd st,10011,2126751911,cafã©/coffee/tea
276096,1329,8423,wisefish poké,"263 w 19th st,",10011,2123677653.0,seafood hawaiian poke,wisefish poke,263 w 19th st,10011,2123677653,hawaiian
276819,1333,14387,rouge tomate chelsea,"126 w 18th st, ,",10011,6463953978.0,american (new) bars,rouge tomate,126 w 18th st,10011,6463953978,french
279424,1346,14948,serenata,"111 w 17th st,",10011,6463689105.0,mexican,serenata,111 w 17th st,10011,2019620270,mexican
279876,1347,9756,very fresh noodles,"425 w 15th st,",10011,,taiwanese chinese noodles,very fresh noodles,425 w 15th st,10011,3129655213,chinese
280010,1347,22343,very fresh noodles,"425 w 15th st,",10011,,taiwanese chinese noodles,doughnuttery,425 w 15th st,10011,2122243600,american
