name,address,zipcode,cuisine
emperador elias restaurant,274 broadway,11211,"latin (cuban, dominican, puerto rican, south & central american)"
old country bagel,16226 cross bay blvd,11414,bagels/pretzels
via italia ristorante,45 west   46 street,10036,italian
el rancho restaurant,10513 jamaica ave,11418,mexican
pine court chinese bistro,24932 horace harding expressway,11362,chinese
d'anna's deli & pizzeria,16908 crocheron ave,11358,"latin (cuban, dominican, puerto rican, south & central american)"
dunkin' donuts,110 east   14 street,10003,donuts
ribalta,48 east   12 street,10003,italian
new tacopetan restaurant & bar,1250 morrison ave,10472,mexican
tiberio dimare,155 beach  116 street,11694,italian
the cupping room,359 west broadway,10013,american
yum yum queens,4301 queens boulevard,11104,thai
doras caffe,10308 39 avenue,11368,spanish
mally's,199 knickerbocker ave,11237,mexican
fortune house,82 henry street,11201,chinese/japanese
mr. q's chinese & japanese bar restaurant,2115 williamsbridge rd,10461,chinese/japanese
disfruta,510 west  207 street,10034,"juice, smoothies, fruit salads"
dunkin' donuts,3291 amboy road,10306,donuts
juice press,100 10th ave,10011,"juice, smoothies, fruit salads"
crazy willys bar,11710 jamaica ave,11418,"latin (cuban, dominican, puerto rican, south & central american)"
khao kang,7620 woodside ave,11373,thai
pizza daddy,6422 bay parkway,11204,italian
moondos grill,424 church avenue,11218,"latin (cuban, dominican, puerto rican, south & central american)"
212 steakhouse,316 e 53rd st,10022,steak
wild,535 hudson street,10014,pizza
bar & grill 43,4306 43 street,11104,american
reliable food,59 east   54 street,10022,american
bar oysters,298 bedford avenue,11249,seafood
dunkin' donuts,8209 153 avenue,11414,donuts
napoli's best pizza,521 east tremont avenue,10457,pizza
hibachi on the run,1143 clarkson ave,11212,asian
the kati roll company,99 mac dougal street,10012,indian
gastro teca astoria,3302 34th ave,11106,italian
slide bar-b-q,5275 65th pl,11378,american
envy,220 east   53 street,10022,asian
verdi restaurant,14958 cross island parkway,11357,italian
vanilla cafe,13520 roosevelt ave,11354,bakery
beauty bar,231 east   14 street,10003,american
