name,address,zipcode,cuisine
Benson's NYC,"181 Essex St,",10002,Breakfast & Brunch Burgers
Vanessa's Dumpling House,"118A Eldridge St, ,",10002,Chinese
Set L.E.S,"127 Ludlow St, ,",10002,Gastropubs Asian Fusion American (New)
Pickle Guys,"357 Grand St, ,",10002,Specialty Food Kosher Delis
the jetty,"131 Orchard St,",10002,Mexican Breakfast & Brunch Pop-Up Restaurants
Taverna Di Bacco,"175 Ludlow St, ,",10002,Italian Cocktail Bars
Cheeky Sandwiches,"35 Orchard St, ,",10002,Sandwiches
Delilah,"155 Rivington St,",10002,Mediterranean Cocktail Bars Tapas/Small Plates
Kopitiam,"51B Canal St, ,",10002,Malaysian Breakfast & Brunch Singaporean
21 Shanghai House,"21 Division St, ,",10002,Shanghainese
Dirty French,"Ludlow Hotel, 180 Ludlow St,",10002,French
Beauty & Essex,146 Essex St,10002,Bars American (New) Tapas/Small Plates
Dudleys,"85 Orchard St,",10002,Cafes Breakfast & Brunch
Poutine Please,"7 Clinton St, ,",10002,Food Stands Poutineries
Gentleman Farmer,"40 Rivington St,",10002,American (New) French
Nakamura,"172 Delancey St., ,",10002,Ramen
The Meatball Shop,"84 Stanton St, ,",10002,Italian American (Traditional)
Doka Square,"53 Delancey St, ,",10002,Asian Fusion Bars Diners
Moemen,"201 Allen St, ,",10002,Middle Eastern
The MasalaWala,"179 Essex St, ,",10002,Indian Pakistani
Sun Hing Lung Co,"58 Henry St, ,",10002,Chinese
Barrio Chino,"253 Broome St,",10002,Mexican Bars
Wassail,"162 Orchard St, ,",10002,American (New) Cocktail Bars
Osaka Grub,"120 Essex St, ,",10002,Japanese
Cocoron,"61 Delancey St, ,",10002,Japanese
The Lucky Bee,"252 Broome St, ,",10002,Thai Asian Fusion Cocktail Bars
Gaia Italian Café,"251 E Houston St, ,",10002,Italian
Mezetto,"161 E Houston St, ,",10002,Mediterranean Seafood Breakfast & Brunch
Speedy Romeo,"63 Clinton St, ,",10002,Pizza Steakhouses Italian
Eastwood,"221 E Broadway, ,",10002,Bars American (Traditional)
Russ & Daughters Cafe,"127 Orchard St, ,",10002,Breakfast & Brunch Seafood
The Metrograph Commissary,"7 Ludlow St,",10002,American (New) Lounges
Russ & Daughters,"179 E Houston St, ,",10002,Specialty Food Bagels Delis
Claw Daddy's,"185 Orchard St, ,",10002,Cajun/Creole Seafood
Yopparai,"151 Rivington St, 1st Fl,",10002,Japanese
Baby Brasa,"129 Allen St,",10002,Peruvian Latin American
Empanada Mama L.E.S,"95 Allen St,",10002,Colombian Empanadas
Contra,"138 Orchard St, ,",10002,American (New)
goa taco,"79 Delancey St,",10002,Mexican Vietnamese Indian
Balvanera,"152 Stanton St, ,",10002,Argentine
Le French Diner,"188 Orchard St, ,",10002,French
