name,address,zipcode,cuisine,violation_code,critical_flag,grade
619 bar & restaurant el salvadoreno,395 e 151st st,10455,"latin (cuban, dominican, puerto rican, south & central american)",02G,Critical,A
amc theatres,234 west   42 street,10036,american,04L,Critical,A
the mermaid inn,570 amsterdam ave,10024,seafood,10F,Not Critical,A
two tom's restaurant ii,255 3 avenue,11215,american,10F,Not Critical,A
dynasty,14718 northern blvd,11354,chinese,06C,Critical,A
pretto caffe e cucina,417 amsterdam avenue,10024,italian,10B,Not Critical,A
el lobito loco,74 victory boulevard,10301,mexican,02H,Critical,A
blackbird's,4119 30 avenue,11103,american,10F,Not Critical,A
masala guyanese kitchen,11602 rockaway boulevard,11420,caribbean,04E,Critical,A
fragole 394,394 court st,11231,italian,02G,Critical,A
fulton grand,1011 fulton street,11238,american,06C,Critical,A
anable basin sailing,apr-40 44 drive,11101,american,10I,Not Critical,A
lilia,567 union ave,11211,italian,10D,Not Critical,A
amc theatres,234 west   42 street,10036,american,08A,Not Critical,A
south shore little league concesion stand,243 bedell avenue,10307,american,02G,Critical,A
bohemian new york,57 great jones st,10012,japanese,02B,Critical,A
amc theatres,234 west   42 street,10036,american,10B,Not Critical,A
brooklyn ate bar,199 russell st,11222,american,02G,Critical,A
mona's,224 avenue b,10009,american,08A,Not Critical,A
carvel,990 rossville ave,10309,"ice cream, gelato, yogurt, ices",09A,Not Critical,A
crazy willys bar,11710 jamaica ave,11418,"latin (cuban, dominican, puerto rican, south & central american)",10F,Not Critical,A
landmark coffee shop,158 grand street,10013,american,06A,Critical,A
the new amity restaurant,1134 madison avenue,10028,american,10F,Not Critical,A
pennylane coffee,305 e 45th street,10017,café/coffee/tea,06D,Critical,A
"au bon pain, andale mexican grill",2155 university avenue,10453,american,10F,Not Critical,A
hungarian pastry shop,1030 amsterdam avenue,10025,eastern european,04N,Critical,A
daddy-o,44 bedford street,10014,american,06C,Critical,A
hilton employee cafeteria,1335 avenue of the americas,10019,american,02G,Critical,A
isis restaurant,739 allerton avenue,10467,spanish,06C,Critical,B
pick a bagel,1475 2 avenue,10075,bagels/pretzels,02B,Critical,A
proskauer rose,11 times square,10036,american,10B,Not Critical,A
delta sky club (bartender service terminal d delta departure),0 la guardia airport,11369,american,10F,Not Critical,A
peasant stock,120 essex street,10002,soups,06C,Critical,A
next bar & lounge,43 mott street,10013,chinese,06D,Critical,A
uja federation,130 east   59 street,10022,jewish/kosher,10F,Not Critical,A
pret a manger,485 lexington avenue,10017,sandwiches,06C,Critical,A
tom's delicious pizza,3161 broadway,10027,pizza,10F,Not Critical,A
richards kibbie & orbe llp,1 world financial center,10281,american,06C,Critical,A
treat house,452 amsterdam ave,10024,american,06D,Critical,A
table green,0 battery park,10004,sandwiches/salads/mixed buffet,10F,Not Critical,A
joshua tree,513 3 avenue,10016,american,10H,Not Critical,A
starbucks,2070 victory boulevard,10314,café/coffee/tea,06C,Critical,A
cafe roma pizzeria,854 amsterdam avenue,10025,jewish/kosher,06D,Critical,A
mazaar,137 essex st,10002,middle eastern,04L,Critical,A
darkhorse,17 murray street,10007,american,08A,Not Critical,A
starbucks,943 2 avenue,10022,café/coffee/tea,10B,Not Critical,A
gan asia,691 amsterdam avenue,10025,asian,10F,Not Critical,A
the helen hayes theatre,240 west   44 street,10036,american,08A,Not Critical,A
college point diner,1432 college point boulevard,11356,american,06D,Critical,A
nuovo fiore,284 grand street,11211,italian,10F,Not Critical,A
mcdonald's,428 knickerbocker ave,11237,american,06D,Critical,A
mr souvlaki,208 franklin st,11222,greek,02B,Critical,A
view lounge,1535 broadway,10036,american,06D,Critical,A
soho thai,141 grand st,10013,thai,10F,Not Critical,A
mist harlem,46 west  116 street,10026,american,10H,Not Critical,A
crowne plaza-times square (banquet kitchen),1605 broadway,10019,american,10F,Not Critical,A
lane deli & catering,75 maiden lane,10038,american,06D,Critical,A
zibetto espresso bar,501 5th ave,10017,american,06A,Critical,A
rocky's i pizza & restaurant,304 west   14 street,10014,pizza,06C,Critical,A
starbucks,30 rockfeeller plaza,10020,café/coffee/tea,10F,Not Critical,A
uncle louie g's italian ices & ice cream,3138 avenue u,11229,"ice cream, gelato, yogurt, ices",06E,Critical,A
balade,208 1 avenue,10009,mediterranean,08A,Not Critical,A
the palace theater,1564 broadway,10036,american,06D,Critical,A
conrad new york main kitchen,102 north end avenue,10282,american,06A,Critical,A
madison's,5686 riverdale avenue,10471,italian,06D,Critical,A
r bar,451 meeker avenue,11222,american,10A,Not Critical,B
double down saloon,14 avenue a,10009,american,06D,Critical,A
u way,74 5 avenue,10011,american,02G,Critical,A
fratelli pizzeria,27 seguine avenue,10309,pizza/italian,10B,Not Critical,A
perla cafe,234 w 4th st,10014,american,10B,Not Critical,A
jr & son,575 lorimer street,11211,american,08A,Not Critical,A
la loteria,29 7th ave s,10014,mexican,06F,Critical,A
bin no 220,220 front street,10038,american,10F,Not Critical,A
b & m hot bagel & grocery,203 giffords lane,10308,delicatessen,10B,Not Critical,A
incas grill peruvian cuisine,2110c clove rd,10305,peruvian,08A,Not Critical,A
the tombstone saloon,119 e 233 street,10470,irish,03A,Critical,A
o cafe,482 6 avenue,10011,american,02G,Critical,A
forbell cafe (u.s. post office cafeteria),1050 forbell street,11256,american,06D,Critical,A
percy's pizza,190 bleeker street,10012,pizza,10D,Not Critical,A
99 favor taste,285 grand st,10002,chinese,08C,Not Critical,A
malachy's,103 west   72 street,10023,irish,10J,Not Critical,A
viiza,5401 8th ave,11220,other,10B,Not Critical,A
dahlia's fine mexican cuisine,353 greenwich st,10013,mexican,04H,Critical,A
bagels n greens,1379 coney island ave,11230,jewish/kosher,04D,Critical,A
pupuseria done's,1326 newkirk avenue,11230,spanish,08A,Not Critical,A
tropical bar restaurant,64 east  183 street,10453,"latin (cuban, dominican, puerto rican, south & central american)",04H,Critical,A
good taste restaurant,4215 hylan blvd,10308,chinese,08A,Not Critical,A
trattoria romana,1476 hylan boulevard,10305,italian,10F,Not Critical,A
metropolitan,559 lorimer street,11211,american,10B,Not Critical,A
dunkin' donuts,4090 boston post road,10475,donuts,10J,Not Critical,A
temple bar,332 lafayette street,10012,american,06G,Critical,A
wendy's,2703 east tremont avenue,10461,hamburgers,06D,Critical,A
margarita island,1205 bowery st,11224,"bottled beverages, including water, sodas, juices, etc.",10B,Not Critical,A
blue & gray inn,841 castleton avenue,10310,american,08A,Not Critical,A
sissy mcginty's,2567 steinway street,11103,irish,10A,Not Critical,A
aaa kennedy fried chicken,253 broadway,10310,chicken,10F,Not Critical,A
meow parlour,34 ludlow st,10002,bakery,10B,Not Critical,A
benson's nyc,181 essex st,10002,american,06F,Critical,A
starbucks coffee # 7851,1 penn plaza,10119,café/coffee/tea,10F,Not Critical,A
equinox @ 17th street,100 10th ave,10011,"juice, smoothies, fruit salads",10F,Not Critical,A
starbucks,106 page avenue,10309,café/coffee/tea,06C,Critical,A
dunkin' donuts,4159 kissena boulevard,11355,café/coffee/tea,04H,Critical,A
key bar,432 east   13 street,10009,american,08A,Not Critical,A
frederic fekkai new york,712 5 avenue,10019,american,10F,Not Critical,A
donostia,155 ave b,10009,tapas,06C,Critical,A
fika,1000s eighth ave,10019,other,10F,Not Critical,A
muscle maker grill,4916 arthur kill road,10309,american,10B,Not Critical,A
gia lam ii,5414 8th ave,11220,other,10F,Not Critical,A
mr. q's noodle,5302 8th ave,11220,chinese,06F,Critical,A
exley,1 jackson street,11211,american,10J,Not Critical,A
crown fried chicken,9240c guy r brewer blvd,11433,chicken,02G,Critical,A
la barca restaurant,3892 broadway,10032,"latin (cuban, dominican, puerto rican, south & central american)",06D,Critical,A
cafe integral,135 grand street,10013,café/coffee/tea,10F,Not Critical,A
valhalla,815 9 avenue,10019,american,06D,Critical,A
strictly vegetarian,2268 church avenue,11226,vegetarian,02B,Critical,A
pace university - cafe 101,1 pace plaza,10038,american,10B,Not Critical,A
ground level  pub & grub,958 post avenue,10302,american,06D,Critical,A
mendy's,10 park avenue,10016,jewish/kosher,06E,Critical,A
orange leaf,65 page avenue,10309,"ice cream, gelato, yogurt, ices",10F,Not Critical,A
kottu house,250 broome st,10002,asian,08A,Not Critical,A
popeye's,2158 nostrand ave,11210,chicken,10B,Not Critical,A
tack's chinese take out,11 holden blvd,10314,chinese,06E,Critical,A
staten island diner,1877 victory boulevard,10314,american,10F,Not Critical,A
alligator lounge,600 metropolitan avenue,11211,pizza,06C,Critical,A
taste the tropics ice cream,1839 nostrand avenue,11226,"ice cream, gelato, yogurt, ices",10F,Not Critical,A
moja restaurant (curry & grill),307 e 204th st,10467,bangladeshi,10F,Not Critical,A
union square events,102 north end avenue,10282,american,06C,Critical,A
united federation of teachers,52 broadway,10004,american,02B,Critical,A
bagel house,4651 hylan blvd,10312,delicatessen,10F,Not Critical,A
quartino bottega organica,11 bleecker street,10012,italian,06D,Critical,A
starbucks,261 5 avenue,10016,café/coffee/tea,10B,Not Critical,A
rebelle,218 bowery,10012,french,04N,Critical,A
liquiteria,170 2nd ave,10003,"juice, smoothies, fruit salads",06C,Critical,A
burger king,961 e 174th st,10460,sandwiches,02B,Critical,A
anthi's greek food,614a amsterdam avenue,10024,greek,04L,Critical,B
destefano's steakhouse,89 conselyea st,11211,steak,06C,Critical,A
new wang hong kong,459 morris park avenue,10460,chinese,06D,Critical,A
island kitchen chinese restaurant,462 nome avenue,10314,chinese,10F,Not Critical,A
covina,124 e 28th st,10016,american,02G,Critical,A
blue bottle coffee,945 madison ave,10021,café/coffee/tea,04J,Critical,A
robataya,231 e 9th st,10003,japanese,10F,Not Critical,A
pastai,186 9 avenue,10011,italian,06F,Critical,A
mimi's pizza,1248 lexington avenue,10028,pizza/italian,10F,Not Critical,A
dunkin' donuts,398 audubon ave,10033,donuts,10E,Not Critical,A
dunkin' donuts,1099 1st ave,10065,donuts,10F,Not Critical,A
pete's restaurant & donut shop,3725 east tremont avenue,10465,café/coffee/tea,08A,Not Critical,A
vis-a-vis,3100 ocean pkwy,11235,russian,02G,Critical,A
china one,8901 flatlands ave,11236,chinese,10F,Not Critical,A
manhattan elite,pier 62 chelsea piers,10011,american,06C,Critical,A
gallagher's 2000,4319 37 street,11101,american,10H,Not Critical,A
takemehome rotisserie,151 avenue a,10009,chicken,08A,Not Critical,A
new china fresh chinese restaurant,11924 metropolitan ave,11415,chinese,10F,Not Critical,A
dragon city,2102 bartow ave,10475,chinese,10B,Not Critical,A
afghan kebab house #1,764 9 avenue,10019,afghan,02G,Critical,A
bension kohen,564 east new york avenue,11225,jewish/kosher,08A,Not Critical,A
burger king,13 hillel place,11210,american,06C,Critical,A
mug-z's sports bar,2476 arthur avenue,10458,american,10J,Not Critical,A
maxwell restaurant and bar,259a kingston ave,11213,american,10F,Not Critical,A
fresko,3119 30th ave,11102,"ice cream, gelato, yogurt, ices",10F,Not Critical,A
dibenedettos deli,7095 amboy rd,10307,delicatessen,04A,Critical,A
the ten bells,247 broome street,10002,french,06C,Critical,A
bagelberry,3113 30 avenue,11102,bagels/pretzels,10E,Not Critical,A
douglaston delicatessen,4423 douglaston parkway,11363,delicatessen,10F,Not Critical,A
peri's pearl tea,303c page ave,10307,"juice, smoothies, fruit salads",06D,Critical,A
napoli pizza,2274 nostrand avenue,11210,american,10F,Not Critical,A
chipotle mexican grill,620 9 avenue,10036,tex-mex,09C,Not Critical,A
chocolat,2217 frederick douglass boulevard,10026,american,08A,Not Critical,A
tottenville bagels,6959 amboy road,10309,delicatessen,06C,Critical,A
china peking restaurant,80-11 jamaica avenue,11421,chinese,10F,Not Critical,A
crumbs bake shop,880 3rd ave,10022,bakery,10F,Not Critical,A
ihop,22902298 adam clayton powell jr boulevard,10030,pancakes/waffles,10F,Not Critical,A
"dunkin' donuts, baskin robbins",46 east  167 street,10452,donuts,10F,Not Critical,A
the back room,102 norfolk street,10002,american,03A,Critical,A
chipotle mexican grill,1020 3rd ave,10065,tex-mex,10B,Not Critical,A
marlin bar at tommy bahama and tommy bahama restaurant and b,551 5 avenue,10176,caribbean,02G,Critical,A
mandarin house,730a port richmond ave,10302,chinese,02B,Critical,A
kennedy fried chicken,1341 flatbush ave,11210,chicken,04N,Critical,A
kennedy fried chicken,2463 creston avenue,10468,american,10B,Not Critical,A
dunkin' donuts,728 w 181st st,10033,donuts,02G,Critical,A
metropolitan museum roof top garden cafe,1000 5 avenue,10028,american,04H,Critical,A
tony's di napoli,1081 3 avenue,10065,italian,06A,Critical,A
mcdonald's,1872 3rd ave,10029,american,06D,Critical,A
social gathering palace,3405 3 avenue,10456,african,04A,Critical,A
sabor latino restaurant cuchifrito,1017 westchester ave,10459,"latin (cuban, dominican, puerto rican, south & central american)",06F,Critical,A
popeyes louisiana kitchen,119 west kingsbridge road,10468,chicken,10F,Not Critical,A
charlie's pizza,1501 st nicholas avenue,10033,pizza,10F,Not Critical,A
aziza 7 cafe,2113 avenue z,11235,middle eastern,10F,Not Critical,A
red apple,1724 hylan blvd,10305,japanese,02B,Critical,A
le pain quotidien,nka central park,10023,french,02B,Critical,A
celebrate at snug harbor,1000 richmond ter,10301,american,10J,Not Critical,A
"bisous, ciao.",101 stanton street,10002,bakery,06A,Critical,A
serafina,2178 broadway,10024,american,06D,Critical,A
signature cafe and bar,480 west   42 street,10036,american,06C,Critical,A
whiskey park,100 central park south,10019,american,10F,Not Critical,A
bamboo sushi,1280 1st avenue,10065,japanese,10F,Not Critical,A
romanoff restaurant,2670 coney island ave,11235,russian,10F,Not Critical,A
dunkin' donuts,289 utica ave,11213,donuts,10F,Not Critical,A
met life,1095 avenue of the americas,10036,american,08A,Not Critical,A
atlantica,pier 62 chelsea piers,10011,american,10F,Not Critical,A
desnuda cevicheria,221 south    1 street,11211,peruvian,06C,Critical,A
la cabana salvadorena,3150 villa avenue,10468,"latin (cuban, dominican, puerto rican, south & central american)",08A,Not Critical,B
juice generation,817 lexington avenue,10065,"juice, smoothies, fruit salads",06F,Critical,A
equinox brookfield place,225 liberty st,10281,"juice, smoothies, fruit salads",10F,Not Critical,A
hong kong kitchen,214 east  198 street,10458,chinese,02G,Critical,A
patsy's pizzeria,2164 utopia parkway,11357,italian,10H,Not Critical,A
brazil grill,787 8 avenue,10036,brazilian,10F,Not Critical,A
la adelita mexican restaurant,5222 roosevelt avenue,11377,mexican,06C,Critical,A
sarkura japan,8902 165th st,11432,japanese,04L,Critical,A
hillside dosa hutt,25815 hillside ave,11004,vegetarian,10F,Not Critical,A
jane,100 west houston street,10012,american,09C,Not Critical,A
gottino,52 greenwich avenue,10011,italian,10H,Not Critical,A
new york style eats,4502 queens boulevard,11104,american,04K,Critical,A
sette mezzo,969 lexington avenue,10021,italian,06C,Critical,A
44 & x hell's kitchen,622 10 avenue,10036,american,06C,Critical,A
new broadway pizzeria and coffee,4312 broadway,10033,american,04M,Critical,A
caridad restaurant,135 w kingsbridge rd,10468,"latin (cuban, dominican, puerto rican, south & central american)",10F,Not Critical,A
n.y. aquarium,boardwalk west 8th street,11224,"ice cream, gelato, yogurt, ices",10F,Not Critical,A
lolo's seafood shack,303 w 116th st,10026,seafood,04L,Critical,A
phd,355 west   16 street,10011,american,10F,Not Critical,A
four seasons hotel,57 east   57 street,10022,american,10I,Not Critical,A
subway,13721 liberty ave,11435,sandwiches,10F,Not Critical,A
white castle,11211 springfield boulevard,11429,hamburgers,02G,Critical,A
tonic times square,727 7 avenue,10019,american,10F,Not Critical,A
riviera ristorante,1712 utopia parkway,11357,italian,10B,Not Critical,A
chartwells at college of mount st. vincent-benedict,6301 riverdale avenue,10471,american,04L,Critical,A
aroma a mexico,568 4th ave,11215,mexican,04N,Critical,A
kokio restaurant,4024 162nd st,11358,chicken,04N,Critical,A
panda chinese restaurant,2807 mermaid ave,11224,chinese,05D,Critical,A
ristorante settepani,196 lenox avenue,10026,italian,08A,Not Critical,A
momofuku ssam bar,207 2 avenue,10003,asian,06C,Critical,A
thelewala,112 macdougal st,10012,indian,06A,Critical,A
new taste of china,90 guyon avenue,10306,chinese,06E,Critical,A
el guanaco restaurant & pupuseria,4195 broadway,10033,"latin (cuban, dominican, puerto rican, south & central american)",08A,Not Critical,A
patrizia's of woodlawn,4358 katonah ave,10470,italian,09C,Not Critical,A
checkers,77 chambers st,10007,american,10F,Not Critical,A
atomic wings,2090 frederick douglass boulevard,10026,chicken,10B,Not Critical,A
gmt tavern,142 bleecker street,10012,american,10F,Not Critical,A
royalcoach diner,3250 boston post rd,10469,american,10F,Not Critical,A
fresh & co.,127 e. 60th st,10022,sandwiches/salads/mixed buffet,06F,Critical,A
master wok,2655 richmond avenue,10314,chinese,06C,Critical,A
ny fresh pizza,787 9 avenue,10019,pizza,06A,Critical,A
subway,1285 avenue of americas,10019,sandwiches,10F,Not Critical,A
amber,1406 3rd ave,10075,japanese,06F,Critical,A
diamante poblano restaurant,2431 jerome avenue,10468,mexican,06C,Critical,A
lusardi's restaurant,1494 second avenue,10075,italian,10F,Not Critical,A
moustache restaurant,90 bedford street,10014,mediterranean,06A,Critical,A
north end grill,102 north end avenue,10282,seafood,10F,Not Critical,A
le botaniste,833 lexington ave,10065,vegetarian,10F,Not Critical,A
baskin robbins,1716 victory blvd,10314,"ice cream, gelato, yogurt, ices",06E,Critical,A
4th down,750 grand st,11211,american,04H,Critical,A
ralph's famous italian ices,6272 amboy road,10309,"ice cream, gelato, yogurt, ices",04A,Critical,A
the penn club,30 west   44 street,10036,american,02H,Critical,A
polonica restaurant,7214 3 avenue,11209,polish,09B,Not Critical,A
gregorys coffee,1273 1st ave,10065,café/coffee/tea,10F,Not Critical,A
lenny's pizza,594 5 avenue,11215,pizza,08C,Not Critical,A
kennedy fried chicken,2788 fulton street,11207,american,10C,Not Critical,A
greenwich project,47 west    8 street,10011,american,10F,Not Critical,A
orchidea restaurant,4815 12th ave,11219,jewish/kosher,06E,Critical,A
papadam,1448 1 avenue,10021,indian,04L,Critical,A
kaplan's kosher catering,45 twombly ave,10306,jewish/kosher,06C,Critical,A
uncle louie gs italian ices & ice cream,2581 cropsey avenue,11214,"ice cream, gelato, yogurt, ices",10F,Not Critical,A
murray's bagels,500 avenue of the americas,10011,bagels/pretzels,02G,Critical,A
berbice bar  and  restaurant,17306 jamaica ave,11432,caribbean,06C,Critical,A
limon jungle,197 7th ave,10011,mexican,10B,Not Critical,A
bistro milano,1350 avenue of the americas,10019,italian,06E,Critical,A
hampton inn,851 8 avenue,10019,american,02G,Critical,A
staten island go carts,215 schmidts lane,10314,american,04A,Critical,A
mighty bowl,120 macdougal st,10012,asian,02G,Critical,A
new island,27 seguine ave,10309,chinese,02B,Critical,A
avli little greek kafe,3829 bell blvd,11361,café/coffee/tea,10F,Not Critical,A
xin xing,2352 tiebout ave,10458,chinese,10F,Not Critical,A
p.j. clarke's on the hudson,4 world financial center,10281,american,10B,Not Critical,A
august wilson theatre,245 west   52 street,10019,american,06D,Critical,A
alibaba,515 amsterdam avenue,10024,jewish/kosher,06A,Critical,A
67 burger,67 lafayette avenue,11217,hamburgers,10D,Not Critical,A
ucb east comedy,153 east    3 street,10009,american,06E,Critical,A
mcdonald's,1660 richmond avenue,10314,hamburgers,02G,Critical,A
cozy soup & burger,739 broadway,10003,american,10F,Not Critical,A
brown brothers harriman,140 broadway,10005,armenian,02G,Critical,A
village pizza,65 8 avenue,10014,pizza,10F,Not Critical,A
doc holidays,141 avenue a,10009,american,06C,Critical,A
subway,8521 126th st,11415,sandwiches/salads/mixed buffet,06D,Critical,A
liquiteria,230 park ave,10169,"juice, smoothies, fruit salads",06C,Critical,A
"dunkin' donuts, baskin robbins",484 9 avenue,10018,café/coffee/tea,06A,Critical,A
valiano pizza,309 bradley avenue,10314,pizza,08A,Not Critical,A
broadway pizza,1157 broadway,10001,pizza,06E,Critical,A
red karaoke lounge,2394 coney island avenue,11223,american,10H,Not Critical,A
matsu ii sushi,411 east   70 street,10021,japanese,10F,Not Critical,A
sprinkles cupcakes,200 vesey st,10281,bakery,04L,Critical,A
il posto accanto,190 east    2 street,10009,italian,10D,Not Critical,A
cafe altro paradiso,234 spring st,10013,italian,10F,Not Critical,A
water front ale house,540 2 avenue,10016,american,10F,Not Critical,A
china wok ii,10315 101 avenue,11416,chinese,10A,Not Critical,A
dunkin' donuts,880 garrison avenue,10474,donuts,04A,Critical,A
bay sushi,29 bay ridge avenue,11220,japanese,04C,Critical,A
pirosmani restaurant,2222 avenue u,11229,middle eastern,10B,Not Critical,A
molly wee pub,402 8 avenue,10001,irish,06E,Critical,A
boulton & watt,5 avenue a,10009,american,04H,Critical,B
popeyes louisiana kitchen,850 pennsylvania avenue,11207,chicken,06F,Critical,A
knickerbocker bar & grill,33 university place,10003,american,02G,Critical,A
dunkin' donuts,2795 richmond avenue,10314,donuts,06B,Critical,A
"dunkin' donuts, baskin robbins",1650 bruckner boulevard,10473,donuts,02G,Critical,A
citigroup,388 greenwich st,10013,american,02G,Critical,A
singas famous pizza,8125 lefferts blvd,11415,american,04L,Critical,A
99 cent fresh pizza,71 2nd ave,10003,pizza,02G,Critical,A
minerva,302-304 w 4th st,10014,american,10F,Not Critical,A
grand banks, park n. moore st. at west s,10013,seafood,05D,Critical,B
dunkin' donuts,139 centre street,10013,café/coffee/tea,10F,Not Critical,A
golden krust caribbean bakery & grill,1364 pennsylvania avenue,11239,caribbean,10B,Not Critical,A
fancy juice,69 1st ave,10003,"juice, smoothies, fruit salads",06F,Critical,A
peking kitchen chinese cuisine,309 bradley avenue,10314,chinese,10F,Not Critical,A
starbucks,685 3 avenue,10017,café/coffee/tea,10F,Not Critical,A
riviera caterer,2780 stillwell avenue,11224,american,06D,Critical,A
popeyes louisiana kitchen,499 east  163 street,10451,chicken,10B,Not Critical,A
patsy's italian restaurant,236 west   56 street,10019,italian,06D,Critical,A
rocking horse cafe,182 8 avenue,10011,mexican,10F,Not Critical,A
bantam bagels,283 bleecker st,10014,bagels/pretzels,10F,Not Critical,A
burger king,950 jewett avenue,10314,hamburgers,10B,Not Critical,A
dunkin' donuts,266 1 avenue,10009,donuts,10F,Not Critical,A
new york university - law school,110 west third street,10012,american,08A,Not Critical,A
everyday chinese restaurant,890 wyckoff ave,11237,chinese,06C,Critical,A
rose & jade bars,2 lexington avenue,10010,american,10F,Not Critical,A
the raging skillet,335 east houston street,10002,american,04C,Critical,A
princesa bakery & restaurant,94 graham avenue,11206,bakery,06D,Critical,A
le baobab gouygi ii restaurant,1235 fulton st,11216,african,10B,Not Critical,A
olive garden,696 avenue of the americas,10010,italian,06D,Critical,A
ruby's,1213 boardwalk,11224,american,06C,Critical,A
antojos,700 river ave,10451,"latin (cuban, dominican, puerto rican, south & central american)",06A,Critical,B
cup,221 montrose avenue,11206,café/coffee/tea,06D,Critical,A
starz banquet hall,23136 merrick boulevard,11413,caribbean,10D,Not Critical,A
lexington bar and books,1020 lexington avenue,10021,american,06C,Critical,A
african market (baboon cafe),2300 southern boulevard,10460,american,10F,Not Critical,A
john hughes knights of columbus club,1305 86 street,11228,american,06D,Critical,A
minetta lane theater,18 minetta lane,10012,american,10F,Not Critical,A
harmony bakery,756 burke avenue,10467,bakery,04L,Critical,A
sirico's catering,8015 23 13 avenue,11228,italian,06F,Critical,A
totto ramen,464 w 51st st,10019,japanese,06D,Critical,A
foxy gentlemen's club,1201 surf avenue,11224,american,10F,Not Critical,A
coal yard bar,102 1 avenue,10009,american,04H,Critical,A
cool zone,2300 southern boulevard,10460,american,10F,Not Critical,A
lollipops ice cream,4120 baychester avenue,10466,"ice cream, gelato, yogurt, ices",10F,Not Critical,A
parade grounds snack bar,50 parkside avenue,11226,american,08A,Not Critical,A
colony lounge service bar,11000 rockaway boulevard,11420,american,08C,Not Critical,A
white cross fishing club bar & grill,750 clarence avenue,10465,american,06C,Critical,A
brunos on the boulevard,8825 astoria boulevard,11369,american,04L,Critical,A
cocktail room (nyac),180 central park south,10019,american,05D,Critical,A
night°,6011 7 avenue,11220,asian,06D,Critical,A
petrossian restauraunt,182 west 58 th street,10019,french,06C,Critical,A
alice's palace,3148 fulton street,11208,caribbean,08A,Not Critical,A
manila  social  club,2 hope st,11211,french,10F,Not Critical,A
melrose ballroom,36-08 33rd street,11106,american,10I,Not Critical,A
colala chinese & japanese restaurant,791 washington avenue,11238,chinese/japanese,10F,Not Critical,A
beaver/northern pond,2300 southern boulevard,10460,american,10F,Not Critical,A
nono,4223 bell boulevard,11361,american,06E,Critical,A
the waterfront restaurant,748 clarence ave,10465,american,10F,Not Critical,A
les amis,3117 ditmars boulevard,11105,greek,10D,Not Critical,A
lyceum theatre,149 west   45 street,10036,american,10F,Not Critical,A
daddy's,437 graham avenue,11211,american,06D,Critical,A
broadway lounge,1535 broadway,10036,american,10F,Not Critical,A
brasserie seoul,300 schermerhorn st,11217,french,10B,Not Critical,A
le moulin a cafe,1439 york avenue,10075,café/coffee/tea,10E,Not Critical,A
toasties,148 west   49 street,10019,american,02G,Critical,A
16 handles,3707 30 avenue,11103,"ice cream, gelato, yogurt, ices",10F,Not Critical,A
adar lounge,1637 park ave,10029,moroccan,10C,Not Critical,A
courtyard marriott/table 181 soho,181 varick street,10014,café/coffee/tea,10F,Not Critical,A
pizza plus,359 seventh avenue,11215,pizza,06C,Critical,A
lady m bryant park,36 w 40th st,10018,bakery,10F,Not Critical,A
jamba juice,30 rockefeller plaza,10112,american,09C,Not Critical,A
hale & hearty soup,927 8 avenue,10019,soups & sandwiches,08C,Not Critical,A
starbucks,85 west street,10006,café/coffee/tea,10F,Not Critical,A
burger king,3310 astoria boulevard,11103,hamburgers,10E,Not Critical,A
la villita restaurant,1249 avenue u,11229,mexican,06D,Critical,A
au bon pain,599 lexington avenue,10022,american,10F,Not Critical,A
chipotle mexican grill,906 3rd ave,10022,tex-mex,02B,Critical,A
open door gastropub,110 john street,10038,american,06C,Critical,A
fletcher's,433 3 avenue,11215,barbecue,10F,Not Critical,A
cari wine bar & restaurant,2647 frederick douglass blvd,10030,"latin (cuban, dominican, puerto rican, south & central american)",06D,Critical,A
hoagie's heros,1650 3rd ave,10128,delicatessen,10F,Not Critical,A
the gaf,401 west   48 street,10036,american,06E,Critical,A
ethel barrymore theater,243 west   47 street,10036,american,06D,Critical,A
chick-fil-a at 46th & 6th in-line,1180 avenue of the americas,10036,sandwiches,10B,Not Critical,A
papa john's,3548 31st st,11106,pizza,02G,Critical,A
westside theatre,407 west   43 street,10036,american,10F,Not Critical,A
french roast,2340 broadway,10024,french,06D,Critical,A
la cantina ecua-mex bar & billiard,3454 broadway,10031,mexican,04A,Critical,A
swiss international airlines lounge,4 jfk international airport,11430,american,09B,Not Critical,A
dunkin' donuts,24501 francis lewis boulevard,11422,donuts,06C,Critical,A
taco bell,961 e 174th st,10460,tex-mex,10F,Not Critical,A
jacques torres chocolate,30 rockefeller plaza,10112,american,10F,Not Critical,A
el aguila,1215 lexington avenue,10028,tex-mex,04L,Critical,A
eugene o'neill theatre,230 west   49 street,10019,american,10F,Not Critical,A
dancing crane cafe (bx zoo),2300 southern boulevard,10460,american,02G,Critical,A
cafe metro,625 8 avenue,10018,american,10E,Not Critical,A
tous les jours,31 w 32nd st,10001,bakery,10F,Not Critical,A
art house restaurant,2751 ocean ave,11229,french,06E,Critical,A
ben's deli,209 west   38 street,10018,jewish/kosher,06C,Critical,A
dunkin' donuts,901 huguenot avenue,10312,donuts,02G,Critical,A
st james theatre,246 west   44 street,10036,american,10F,Not Critical,A
starbucks,2929 broadway,10025,café/coffee/tea,04L,Critical,A
burger king,400 east tremont avenue,10457,hamburgers,02G,Critical,A
coco moka cafe,2 penn plaza,10121,american,10B,Not Critical,A
la cocina ii restaurant,100 moore street,11206,spanish,06C,Critical,A
hotel vetiver,2911 39 avenue,11101,american,02G,Critical,A
central diner,nka jfk international airport,11430,american,10F,Not Critical,A
