name,address,zipcode,cuisine,violation_code,critical_flag,grade
rose pizza,1 penn plaza,10119,pizza,08C,Not Critical,A
subway,16558 baisley blvd,11434,sandwiches,10F,Not Critical,A
one stop pizza & restaurant,2815 36 avenue,11106,pizza,02B,Critical,A
the original pizza of 4th ave,6823 4 avenue,11220,pizza,10I,Not Critical,A
the cuckoo's nest,6104 woodside avenue,11377,american,10F,Not Critical,A
ichi sushi,8609 bay parkway,11214,japanese,04M,Critical,A
miller's ale house,2883 richmond avenue,10314,american,08B,Not Critical,A
starbucks,239 bleecker st,10014,café/coffee/tea,10F,Not Critical,A
new york university - kimmel student center cafeteria,60 washington square south,10012,american,08A,Not Critical,A
bizcocho de colores,241 sherman avenue,10034,bakery,10B,Not Critical,A
big e's deli,180 w service rd,10314,delicatessen,02G,Critical,B
isaacs jamaican cuisine,1060 rutland road,11212,caribbean,04N,Critical,A
"dunkin' donuts, baskin robbins",9405 rockaway boulevard,11417,american,06D,Critical,B
red ribbon bakeshop,6502 roosevelt avenue,11377,filipino,06D,Critical,A
sullivan & cromwell,125 broad street,10004,american,06D,Critical,A
dos toros,225 liberty st,10281,mexican,02B,Critical,A
wingstop,63 w 125th st,10027,chicken,10F,Not Critical,A
starbucks coffee,122 greenwich avenue,10011,café/coffee/tea,10B,Not Critical,A
boston market,1465 forest avenue,10302,american,02B,Critical,A
donna,27 broadway,11249,american,10F,Not Critical,A
mooburger,240 court street,11201,american,04H,Critical,B
dunkin' donuts,16525 liberty avenue,11433,american,04H,Critical,A
espresso 77,3557 77 street,11372,café/coffee/tea,06D,Critical,A
famous famiglia pizzeria,2859 broadway,10025,pizza,10I,Not Critical,A
avra estiatorio,145 east   48 street,10017,greek,04N,Critical,A
mustang thakali kitchen,7414 37 avenue,11372,indian,02G,Critical,B
oiji,119 1st ave,10003,korean,10B,Not Critical,B
234 china city,234 kings highway,11223,chinese,08A,Not Critical,A
tulcimex deli restaurant,2559 boston road,10467,tex-mex,02G,Critical,A
la cabana argentina,8607 northern boulevard,11372,"latin (cuban, dominican, puerto rican, south & central american)",04L,Critical,A
fourth avenue pub,76 4 avenue,11217,american,08A,Not Critical,A
subway,18118 hillside ave,11432,sandwiches,02G,Critical,A
big daddy caribbean taste,4406 white plains road,10470,caribbean,06C,Critical,A
la sabrosura,3320 30 avenue,11103,"latin (cuban, dominican, puerto rican, south & central american)",09C,Not Critical,A
john's restaurant,302 east   12 street,10003,italian,10F,Not Critical,A
il bacco ristorante,25324 northern boulevard,11362,italian,10J,Not Critical,B
crave,2855 36 street,11103,greek,06D,Critical,A
paris baguette,6 west   32 street,10001,bakery,10F,Not Critical,A
silver spoon restaurant,20712 hollis avenue,11429,caribbean,10F,Not Critical,B
circle line manhattan,0 west 42 street,10036,american,06C,Critical,B
irish haven,5721 4 avenue,11220,irish,08A,Not Critical,A
taylormade jamaican eatery,393 classon ave,11238,caribbean,02B,Critical,A
starbucks,76 9 avenue,10011,café/coffee/tea,08A,Not Critical,A
pizza studio,444 e fordham rd,10458,pizza,10F,Not Critical,A
kinfolk,94 wythe ave,11249,american,04L,Critical,A
rmm lounge,658 dawson st,10455,american,04N,Critical,A
juice generation,117 west   72 street,10023,"juice, smoothies, fruit salads",09A,Not Critical,A
bocaito cafe & wine bar,8115 northern blvd,11372,spanish,06D,Critical,A
campo bello,118 broad st,10304,spanish,02G,Critical,A
dominick's bakery & cafe,31 new dorp plaza,10306,american,04H,Critical,B
red bamboo,140 west    4 street,10012,vegetarian,06E,Critical,A
