name,address,zipcode,cuisine
skylight diner,"402 w 34th st, ,",10001,diners american (traditional)
statler grill,"136 w 33rd st, ,",10001,american (traditional) steakhouses breakfast & brunch
the harold,"1271 broadway, ,",10001,american (traditional) breakfast & brunch
anesis cafe,"42 w 35th st frnt 1, ,",10001,restaurants
poppy's terminal restaurant,"329 10th ave, ,",10001,diners
cloud 28,"127 w 28th st,",10001,lounges breakfast & brunch sandwiches
hanok,"11 w 32nd st, ,",10001,korean
boon sik zip,"11 w 32nd st, food gallery 32,",10001,korean
barilla restaurants,"108 w 32nd st, ,",10001,italian
company,"230 9th ave, ,",10001,pizza bars italian
broadway bites,"33rd & broadway, ,",10001,food court food trucks
turntable coffee & music,"34 w 32nd st, fl 5",10001,coffee & tea american (traditional) cafes
bombay sandwich co,"48 w 27th st, ,",10001,indian vegan vegetarian
uncle nicks greek cuisine,"382 8th ave, ,",10001,greek mediterranean
hanamichi,"28 w 32nd st, ,",10001,japanese korean sushi bars
mcdonald's,"429 7th ave, ,",10001,fast food burgers
high line garden,"503 w 28th st, ,",10001,pizza
hanbat restaurant,"53 w 35th st, ,",10001,korean seafood
entree,"240 w 35th st, ste b,",10001,american (new) delis breakfast & brunch
niles restaurant,"371 7th ave, ,",10001,bars american (new)
chandni restaurant,"13 w 29th st, ,",10001,indian
gardenia deli,"404 8th ave, ,",10001,delis
frying pan,"pier 66 maritime, ,",10001,landmarks & historical buildings
mcdonald's,"151 w 34th st, ,",10001,burgers fast food
savory and sweet,"398 10th ave, ,",10001,bakeries cafes
no. 7 sub,"1188 broadway, ,",10001,sandwiches
roastown coffee,"267 w 34th st, ,",10001,coffee & tea ice cream & frozen yogurt asian fusion
songkran,"330 8th ave,",10001,thai
swagat indian restaurant,"205 w 29th st, ,",10001,indian
bombay sandwich,"27 n 6th ave, ,",10001,indian vegetarian sandwiches
bottino take-out,"246 10th ave, ,",10001,sandwiches
little italy pizza,"401 7th ave, ,",10001,pizza
crompton ale house,"159 w 26th st,",10001,bars american (new)
roll & katsu kitchen,"11 w 32nd st, ste 5,",10001,sushi bars korean japanese
la bella stella,"460 w 34th st, ,",10001,pizza
panda express,"414 eighth ave,",10001,chinese fast food
230 fifth rooftop bar,"230 fifth ave,",10001,cocktail bars american (new)
moya,"793 6th ave, ,",10001,chicken wings korean
by suzette,"494 8th ave, ,",10001,french creperies fast food
uncle jack's steakhouse - westside,"440 9th ave, ,",10001,steakhouses breakfast & brunch seafood
lasani restaurant,15 w 29th st,10001,indian middle eastern pakistani
gruppo ristoratori italiani,"322 8th ave ste 1701, ,",10001,pizza
porchlight,"271 11th ave, ,",10001,cocktail bars
ace hotel new york,"20 w 29th st, ,",10001,hotels
ajisen ramen,"136 w 28th st,",10001,ramen sushi bars
bottino,"246 10th ave, ,",10001,italian
teremok,"358 7th ave,",10001,russian breakfast & brunch salad
tick tock diner,"481 8th ave, ,",10001,diners
cafe r,"116 w 32nd st, ,",10001,food court american (new) breakfast & brunch
son ja jang,"34 w 32nd st,",10001,chinese
blue dog cafe,"101 w 25th st, ,",10001,american (new) american (traditional)
excuse my french,"96 orchard st, ,",10002,bars tapas bars french
simple,"109 eldridge st, ,",10002,japanese american (new) hawaiian
the boil,"139 chrystie st,",10002,cajun/creole seafood wine bars
the whales,"71 clinton st, ,",10002,korean cocktail bars chicken wings
rabbit house,"76 forsyth st,",10002,japanese tapas bars
sweet chick,"178 ludlow st, ,",10002,american (traditional)
la  contenta,"102 norfolk st, ,",10002,mexican bars breakfast & brunch
freemans,"freeman aly, ,",10002,breakfast & brunch lounges desserts
l.e.s kitchen,"15 essex st, ,",10002,burgers sandwiches
bing kitchen,"71 orchard st,",10002,chinese taiwanese asian fusion
to two boonsik,"97 canal st,",10002,korean
pig and khao,"68 clinton st, ,",10002,filipino thai asian fusion
lao di fang,"28 forsyth st, ,",10002,chinese
the stanton social,"99 stanton st, ,",10002,breakfast & brunch tapas/small plates lounges
gohan,14a orchard st,10002,japanese gluten-free comfort food
lam zhou handmade noodle,"144 e broadway, ,",10002,chinese noodles
verlaine,"110 rivington st, ,",10002,tapas/small plates lounges
the burgary,"67 clinton st, ,",10002,burgers
the bao shoppe,"34 canal st,",10002,asian fusion sandwiches bubble tea
jasmine's,"302 broome st,",10002,french
spaghetti incident,"231 eldridge st, ,",10002,italian breakfast & brunch salad
katz's delicatessen,"205 e houston st, ,",10002,delis sandwiches
café medi,107 rivington st,10002,mediterranean cafes
les enfants de boheme,"177 henry st, ,",10002,french cafes cocktail bars
clinton street baking company,"4 clinton st, ,",10002,breakfast & brunch
wah fung no 1,"79 chrystie st, ,",10002,chinese barbeque fast food
benson's nyc,"181 essex st,",10002,breakfast & brunch burgers
vanessa's dumpling house,"118a eldridge st, ,",10002,chinese
set l.e.s,"127 ludlow st, ,",10002,gastropubs asian fusion american (new)
pickle guys,"357 grand st, ,",10002,specialty food kosher delis
the jetty,"131 orchard st,",10002,mexican breakfast & brunch pop-up restaurants
taverna di bacco,"175 ludlow st, ,",10002,italian cocktail bars
cheeky sandwiches,"35 orchard st, ,",10002,sandwiches
delilah,"155 rivington st,",10002,mediterranean cocktail bars tapas/small plates
kopitiam,"51b canal st, ,",10002,malaysian breakfast & brunch singaporean
21 shanghai house,"21 division st, ,",10002,shanghainese
dirty french,"ludlow hotel, 180 ludlow st,",10002,french
beauty & essex,146 essex st,10002,bars american (new) tapas/small plates
dudleys,"85 orchard st,",10002,cafes breakfast & brunch
poutine please,"7 clinton st, ,",10002,food stands poutineries
gentleman farmer,"40 rivington st,",10002,american (new) french
nakamura,"172 delancey st., ,",10002,ramen
the meatball shop,"84 stanton st, ,",10002,italian american (traditional)
doka square,"53 delancey st, ,",10002,asian fusion bars diners
moemen,"201 allen st, ,",10002,middle eastern
the masalawala,"179 essex st, ,",10002,indian pakistani
sun hing lung co,"58 henry st, ,",10002,chinese
barrio chino,"253 broome st,",10002,mexican bars
wassail,"162 orchard st, ,",10002,american (new) cocktail bars
osaka grub,"120 essex st, ,",10002,japanese
cocoron,"61 delancey st, ,",10002,japanese
the lucky bee,"252 broome st, ,",10002,thai asian fusion cocktail bars
gaia italian café,"251 e houston st, ,",10002,italian
mezetto,"161 e houston st, ,",10002,mediterranean seafood breakfast & brunch
speedy romeo,"63 clinton st, ,",10002,pizza steakhouses italian
eastwood,"221 e broadway, ,",10002,bars american (traditional)
russ & daughters cafe,"127 orchard st, ,",10002,breakfast & brunch seafood
the metrograph commissary,"7 ludlow st,",10002,american (new) lounges
russ & daughters,"179 e houston st, ,",10002,specialty food bagels delis
claw daddy's,"185 orchard st, ,",10002,cajun/creole seafood
yopparai,"151 rivington st, 1st fl,",10002,japanese
baby brasa,"129 allen st,",10002,peruvian latin american
empanada mama l.e.s,"95 allen st,",10002,colombian empanadas
contra,"138 orchard st, ,",10002,american (new)
goa taco,"79 delancey st,",10002,mexican vietnamese indian
balvanera,"152 stanton st, ,",10002,argentine
le french diner,"188 orchard st, ,",10002,french
libation,"137 ludlow st, ,",10002,american (new) dance clubs
cafe katja,"79 orchard st, ,",10002,pubs german austrian
mazeish grill,"137 rivington st, ,",10002,mediterranean middle eastern
shu jiao fu zhou cuisine restaurant,118 eldridge st,10002,chinese noodles
kottu house,"250 broome st, ,",10002,sri lankan
red compass,"154 orchard st, ,",10002,mediterranean modern european wine bars
99 favor taste,"285 grand st, ,",10002,hot pot barbeque
cheese grille,"188 allen st, ,",10002,american (traditional) comfort food sandwiches
wildair,"142 orchard st, ,",10002,american (new)
kiki's,"130 division st, ,",10002,greek salad
taste of northern china,"88 e broadway, suite 106,",10002,chinese
chloe81 blue,"81 ludlow st,",10002,seafood jazz & blues american (traditional)
clancey,"79 clinton st,",10002,american (new) beer bar breakfast & brunch
big hing wong,"300 grand st, ,",10002,chinese seafood soup
mei yu spring,"29 catherine st, ,",10002,chinese
zest,"249 broome st, ,",10002,sushi bars japanese thai
sammy's roumanian steakhouse,"157 chrystie st, ,",10002,steakhouses
vandal,"199 bowery, ,",10002,tapas bars lounges
shopsin's,"essex st market, 120 essex st,",10002,diners breakfast & brunch
black crescent,"76 clinton st, ,",10002,bars seafood
bar goto,"245 eldridge st, ,",10002,cocktail bars japanese
el luchador taqueria,"132 ludlow st, ,",10002,mexican
mission chinese,"171 e broadway, ,",10002,chinese desserts cocktail bars
patacon pisao,"139 essex st, ,",10002,venezuelan sandwiches
fung tu,"22 orchard st, ,",10002,asian fusion chinese
louie and chan,"303 broome st, ,",10002,italian lounges cocktail bars
hill and dale,"115 allen st, ,",10002,bars american (new)
round k,"99 allen st,",10002,coffee & tea breakfast & brunch bagels
yaya tea garden,"51 chrystie st, ,",10002,coffee & tea japanese bubble tea
super taste,"26 eldridge st,",10002,noodles taiwanese
the ten bells,"247 broome st, ,",10002,wine bars tapas bars
azasu,"49 clinton st, ,",10002,japanese sandwiches cocktail bars
spicy village,"68 forsyth st, ste b,",10002,chinese
spreadhouse cafe,"116 suffolk st, ,",10002,coffee & tea cafes wine bars
forgtmenot,"138 division st, ,",10002,bars american (new)
king's kitchen,"92 e broadway, ,",10002,chinese
shui mei cafe,"67 e broadway, ,",10002,cafes chinese
wolfnights,"99 rivington st,",10002,sandwiches
la gamelle,"241 bowery, ,",10002,french
bacaro,"136 division st, ,",10002,italian bars
tre,"173 ludlow st, ,",10002,italian
lucky plaza restaurant,"81 chrystie st, ,",10002,chinese
ni japanese delicacies,"120 essex st, ,",10002,japanese delis
charrua,"131 essex st,",10002,latin american
the john lamb,"120 allen st, 119 orchard st,",10002,cocktail bars american (new) tapas/small plates
soy,"102 suffolk st, ,",10002,japanese
pho vietnam 87,"87 chrystie st, ,",10002,vietnamese
sakamai,"157 ludlow st, ,",10002,japanese tapas/small plates cocktail bars
gen ramen house,"112 eldridge st,",10002,ramen dim sum
fools gold nyc,"145 e houston st, ,",10002,gastropubs pubs cocktail bars
la margarita pizza,"151 ludlow st, ,",10002,pizza
ninja sushi nyc,"109 madison st,",10002,sushi bars tacos
one mile house,"10 delancey st, ,",10002,bars american (traditional)
sel rrose,"1 delancey st, ,",10002,cocktail bars seafood cafes
souvlaki gr,"116 stanton st, ,",10002,greek
long xin restaurant,"50 eldridge st, ,",10002,chinese
rizzo's fine pizza,"17 clinton st, ,",10002,pizza
farmhouse restaurant,"81 ludlow st, ,",10002,american (new) breakfast & brunch
kam boat bakery & cafe,"111 bowery st, ,",10002,bakeries cafes
le turtle,"177 chrystie st, ,",10002,modern european french
bite of hong kong 泰仁軒,"81 chrystie st, ,",10002,seafood cantonese
jadis,"42 rivington st, ,",10002,french wine bars
pala,"198 allen st,",10002,pizza italian gluten-free
koneko,"26 clinton st, ,",10002,cafes venues & event spaces breakfast & brunch
cc's cafe,"41 monroe st, ,",10002,cafes breakfast & brunch american (new)
dimes,"49 canal st, ,",10002,american (new) salad breakfast & brunch
nordic preserves fish and wildlife company,"120 essex st, ,",10002,scandinavian
ling kee beef jerky,"42 canal st, ,",10002,chinese barbeque
congee bowery,"207 bowery, ,",10002,chinese
little chair cafe,"47 monroe st,",10002,coffee & tea sandwiches salad
blue ribbon sushi izakaya,"187 orchard st, ,",10002,asian fusion sushi bars breakfast & brunch
rochelles,"205 chrystie st, ,",10002,cocktail bars american (new) gastropubs
cup & saucer,"89 canal st, ,",10002,diners chinese
wu's wonton king,"165 e broadway, ,",10002,cantonese seafood dim sum
lee chung cafe,"82 madison st, ,",10002,coffee & tea chinese
dirt candy,"86 allen st, ,",10002,vegetarian vegan
